"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGR",1654.06705919787,-2.1094350189749,0.315810503397327,-6.67943274933126,2.39868881370414e-11,7.0025149524363e-10
"HSPB6",202.482542612771,-4.24182546470629,0.423605623850849,-10.0136193333444,1.3280318087456e-23,3.19133033282666e-21
"PDK4",6385.42005042941,-3.78056053593242,0.438415673174432,-8.62323308051135,6.5089782930044e-18,6.21729980966517e-16
"ZMYND10",472.682339585043,-2.07545792875022,0.722359090992285,-2.87316648275198,0.00406379904207052,0.0137726348473022
"ABCB5",6.72957281994479,-2.12036750638124,0.653552874642326,-3.24437025472754,0.00117710629370971,0.00485582934208509
"SLC4A1",23.0230181128799,-5.41787995499353,0.74685186869009,-7.25428988280634,4.03774540076351e-13,1.64897477198623e-11
"DNAH9",458.218939202413,-2.4188317904039,0.966819335434122,-2.50184465882429,0.0123548121025572,0.0344628938799188
"TKTL1",67.2728116159868,-5.41912000784266,0.899622049349943,-6.02377410798063,1.70396143559767e-09,3.42126082790318e-08
"CACNA2D2",5266.65650286995,-2.54969693168772,0.562292660261884,-4.53446596742027,5.77494121311248e-06,4.81153769905638e-05
"SELE",751.581873685991,-3.57596356715939,0.803259103445274,-4.45181828854681,8.51462060682438e-06,6.71898630602121e-05
"PGLYRP1",9.23056320090479,-3.32455016321195,0.83662364217067,-3.97377027809806,7.07437973290482e-05,0.000429181543774871
"SEMA3G",1696.56525732645,-3.42214332072783,0.384697755796909,-8.89566749262363,5.80692040216232e-19,6.66161737994792e-17
"SLC6A13",33.9368935339292,-4.00938396245481,0.492196363961415,-8.14590325329814,3.76461044696012e-16,2.75456063761707e-14
"ANOS1",4917.00132885116,-2.85018485698076,0.409242997864458,-6.96452931840937,3.2950351781318e-12,1.14319693133087e-10
"DCN",29372.4575074951,-2.61677927174958,0.370926231699012,-7.05471613523674,1.72953427717464e-12,6.30422605682677e-11
"SEMA3B",2309.56628959846,-2.68730865849902,0.470239550779938,-5.71476528089111,1.09855549469612e-08,1.84811520916859e-07
"NR1H4",4.2212253366058,-3.53072999326466,0.855222208862865,-4.12843581080437,3.65239367202366e-05,0.000241542569926501
"IL20RA",755.269278011341,-2.49059034156779,0.598883493349052,-4.15872263842172,3.20032210833562e-05,0.00021513590521553
"ATP1A2",233.779720085217,-2.68291797402983,0.526750533383343,-5.09333698591119,3.51815556272861e-07,4.10193939435809e-06
"VSIG2",1570.46570007256,-2.60849268230507,0.50953020368649,-5.11940737454311,3.06497257242937e-07,3.62916280373393e-06
"MARCO",8579.92033717911,-3.08981503043178,0.529368541703629,-5.83679381568095,5.32148809347965e-09,9.61109586123788e-08
"C8B",349.877670075283,-4.60744828411603,0.763221461585215,-6.03684319168166,1.57158305242164e-09,3.17782723682317e-08
"FHL1",8890.79886759348,-4.60648240860299,0.361504855215985,-12.7425187854,3.43134945307861e-37,5.22228511095544e-34
"HSD17B6",2198.83744223247,-2.82520002948188,0.513908395303422,-5.49747786823725,3.85261648530522e-08,5.66697047313357e-07
"MUSK",75.5013487403775,-2.75442550255064,0.517574055771918,-5.32179979238458,1.02745614921912e-07,1.36370909479786e-06
"ARHGAP31",4315.83611949936,-2.14555446948561,0.450715620928529,-4.76032861933098,1.93277997169438e-06,1.85704688441966e-05
"CLXN",317.980585143433,-2.40009290306025,0.914898515783037,-2.62334331257066,0.0087071484958733,0.0258586565646275
"MYOC",150.340379264787,-6.43788448465813,0.756886864826687,-8.50574211792179,1.80437637985826e-17,1.59042889481792e-15
"DAPK2",1667.68250505745,-2.30849396824716,0.379714473744204,-6.07955221059675,1.20518635951042e-09,2.48538386641945e-08
"OTC",25.395408729511,-5.13345735304461,0.574899526807888,-8.92931219051088,4.28665584972006e-19,5.00396949104317e-17
"MSR1",6464.46734598475,-2.74201456716116,0.372470964479709,-7.36168675856755,1.81600714780846e-13,7.95731807626091e-12
"C6",252.107181718688,-3.2161212325314,0.867542063606226,-3.70716460613164,0.000209592720328501,0.00110784723602208
"ADRB1",773.462832093624,-4.27016961847305,0.423172022014729,-10.090859972601,6.06359456293926e-24,1.538064447526e-21
"GUCA2B",2.49060633224006,-4.37163791199881,0.96429400587784,-4.53351144500698,5.80111213647993e-06,4.82767841335153e-05
"PREX2",838.440601450371,-2.04571457058299,0.467862696971932,-4.37246778557709,1.22849948756847e-05,9.23153877606995e-05
"ARHGAP6",524.096586798785,-3.01867583362604,0.334257524663241,-9.03098841729085,1.70128099729684e-19,2.18194066782525e-17
"CBLN4",94.0757442562913,-3.13982956161574,0.73179654484025,-4.29057718809147,1.78209329424165e-05,0.000128015757754067
"CCDC85A",128.08343794939,-2.85707461150734,0.326134104756514,-8.76042882310753,1.94508988520551e-18,2.04628834052334e-16
"RASGRF1",1300.52895221291,-3.20604214907495,0.562659711333982,-5.6980126433327,1.21212064308956e-08,2.01981767599209e-07
"LIMCH1",12802.4551240062,-2.08871560850927,0.326869146541889,-6.39006657742657,1.65813544903576e-10,4.18734227500412e-09
"CCN5",1081.488998147,-2.73698176331095,0.472724957548467,-5.78979747019246,7.04713458413369e-09,1.23468177606437e-07
"POU1F1",4.33520389652828,-2.11906148675342,0.615065290443989,-3.44526267320948,0.000570504701507154,0.00263218509108868
"CHI3L2",2283.83264565858,-2.16682024401662,0.732591892033416,-2.95774532530287,0.00309898042857342,0.0109227457470901
"CALCRL",5844.11424639415,-3.64802526292601,0.309768488148223,-11.7766183537056,5.15187544558448e-32,3.92040548490827e-29
"GLP2R",38.0688657125029,-4.47853510834432,0.701026989434581,-6.38853450129861,1.67483040345028e-10,4.21087040532671e-09
"MYLK",5810.52489383143,-2.01589739955165,0.323582551185703,-6.22993233771351,4.66636669702641e-10,1.05893126567014e-08
"TIE1",2521.06621975613,-2.47030928750575,0.338185949476417,-7.30458876641773,2.78116015970855e-13,1.16926529071798e-11
"CLDN18",23735.0818907111,-5.70821297295357,0.495151409434,-11.5282171557959,9.50925492472948e-31,5.56632770965767e-28
