"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FIRRM",251.122535145632,2.09093885424149,0.296725390880019,7.04671362312556,1.83192796760594e-12,6.64882091772272e-11
"GCLC",3354.60453893747,3.01539201333647,0.559951842832771,5.38509168588808,7.24077293209239e-08,9.97583616576568e-07
"AOC1",513.681780435975,4.69872781994321,0.747075271291119,6.28949719058794,3.1849587156718e-10,7.54247121577506e-09
"HECW1",41.367148260989,2.73033690448479,0.612958009293705,4.45436206573251,8.41430028581496e-06,6.65280934362543e-05
"ARHGAP33",465.142402156109,2.57083118581665,0.534124686833757,4.81316675523145,1.48557228035901e-06,1.46941635997902e-05
"PON1",60.9439863116374,2.06992992047165,0.659325143505292,3.13946759176649,0.00169255134957731,0.00656795083452327
"CRLF1",937.040759500646,3.60923845049385,0.901757394854672,4.00244951811626,6.26900467270729e-05,0.000386693076663698
"YBX2",318.219117138914,6.27043461082402,0.837886777339493,7.48362998487012,7.22973258670702e-14,3.44566942008214e-12
"ABCC8",129.570770457787,2.63952965620211,0.912810970402416,2.89164979583721,0.00383224855363707,0.0131046138752218
"DLX6",31.136918349577,4.90594122589574,1.25795460152217,3.89993503736888,9.62185016692623e-05,0.000562070669039813
"USH1C",85.683853057979,3.17404687054846,0.955397763198207,3.32222556176319,0.000893024710341622,0.00384367668031465
"SCIN",1651.28320661314,2.03088739977893,0.594398720161563,3.41670890412906,0.000633830133486376,0.00287439573249116
"E2F2",285.989663319468,3.52033732101141,0.547255307070463,6.43271481432732,1.25344698734638e-10,3.2223361864345e-09
"TFAP2D",10.1200464640986,6.58103213970004,1.38472775904249,4.75258194018633,2.00835335239736e-06,1.9199622563601e-05
"CELSR3",461.660916286197,3.86444020145382,0.419505226605432,9.21190001069651,3.20402477541127e-20,4.60029444011723e-18
"TENM1",265.526479583997,2.26603105474306,0.765632574926957,2.95968474820869,0.00307953993351252,0.0108626108068846
"SLC6A7",6.78654424189437,2.05170111433849,0.704065727245353,2.91407610815789,0.00356742922475875,0.0123189898308906
"SYT7",1093.07150526935,2.8937868955378,0.464246593416731,6.23329699468617,4.56719102253801e-10,1.03849007822231e-08
"ANLN",1113.65137143317,3.55399763338538,0.485854430718555,7.31494334245177,2.57490011067266e-13,1.09873634815974e-11
"GABRA3",24.8941898815261,5.16773110873139,1.60802397352623,3.21371521433173,0.00131029561664051,0.00530273686089101
"BRCA1",642.505316577518,2.11344228071018,0.446934072275155,4.72875623456391,2.25899404832166e-06,2.1266216548097e-05
"DDX11",852.626246781735,2.28671441211534,0.443856770714159,5.15191963487692,2.57833529291187e-07,3.11268198846563e-06
"TACC3",1614.65252246207,2.2889986674612,0.370347024384413,6.18068599650813,6.38236511747585e-10,1.39478914512653e-08
"DPEP1",57.191278719308,2.43811619121548,0.652877636618592,3.73441523260479,0.00018815184848676,0.00100710868677708
"NPC1L1",61.062619479151,3.69454609637528,0.847114057091689,4.36133253302323,1.29272721102114e-05,9.66328405383153e-05
"ISL1",14.0394953137165,4.61749761231263,1.30426508294209,3.54030608708525,0.000399663214197666,0.00194456767197752
"CYP24A1",525.627900012895,4.53572436647,0.924939488343771,4.9038065988423,9.39970406397738e-07,9.79396823717662e-06
"SYT13",300.572660226832,3.84047022496068,0.958727942120264,4.00579774118957,6.18085220588572e-05,0.00038197800489487
"CPS1",371.062829537006,2.39827806531766,0.80481794386498,2.97990133495334,0.00288341240088903,0.0102659734404079
"DEPDC1",326.028068689947,4.28266171334551,0.572737657163011,7.47752772981468,7.57337911110644e-14,3.5944422396559e-12
"ANK1",113.785137925553,2.12832319913956,0.633834786682926,3.35785167342708,0.000785507516648334,0.00344257076167495
"IBSP",20.1395756258293,3.3307011717637,0.831803686240914,4.0041914058061,6.2229965456587e-05,0.000384365383994805
"HMGB3",6753.90839091645,3.97729532522077,0.503421712380949,7.90052400880768,2.77733335438225e-15,1.75148461732576e-13
"APBA2",520.344371311484,2.19120700835846,0.582066292740275,3.76453169628259,0.000166861502763075,0.000909017810566778
"DEPDC1B",294.431719379355,4.42314873521685,0.567944447141722,7.78799538841714,6.80806661157095e-15,3.94470438262826e-13
"CASR",151.804487139417,4.86566454195067,1.295732816012,3.75514495104491,0.000173241187336134,0.000938742716756846
"ADAM28",560.730339971669,2.05070370651591,0.432949163948181,4.7365923699101,2.1734170359923e-06,2.05538266423647e-05
"BARX2",134.137225951019,2.95146203481915,0.599485259513286,4.92332711769327,8.50850462814952e-07,8.97185460304967e-06
"ZIC2",29.4174049221838,4.02255741555388,1.19782042958741,3.35823076330351,0.000784430966507143,0.00343917313892675
"CP",8172.84160145859,3.81324433614242,0.711846313650441,5.35683652920474,8.4691679958209e-08,1.15016440319212e-06
"TNFRSF17",61.5653459735585,2.26691147511189,0.640041558113148,3.54181919342048,0.000397377753940763,0.00193551029330354
"EPN3",410.241849916541,3.82027958759542,0.637369423887915,5.99382311798383,2.04964307641709e-09,4.04769046639496e-08
"FOXP3",111.28798669701,2.05377206146842,0.407363010314855,5.04162628776982,4.61592072357517e-07,5.20893990106266e-06
"RAD51",202.955330181637,2.37012754409022,0.438601583115334,5.40382806476779,6.52334770310361e-08,9.080579555741e-07
"POLQ",189.452279115981,3.72724475894549,0.43963180895798,8.47810527582125,2.2889081351394e-17,1.92817283457924e-15
"KCNH2",561.776890855561,2.46857339388641,0.780367800370388,3.16334604364089,0.0015596682103267,0.00614102545249192
"GYG2",257.056877964764,2.60241692947491,0.589992834004819,4.41092972572215,1.02927721296997e-05,7.91423694674687e-05
"PKP2",710.182974297924,2.0749931003321,0.738528730847502,2.80963084259556,0.00495983539173672,0.0162404019159434
"STYK1",190.939450492792,2.38387009040944,0.314517723184926,7.57944597293108,3.47033675746437e-14,1.76446142174063e-12
"RIMBP2",155.620241462909,4.7686397273321,0.679239044756662,7.02056185395007,2.2097780618677e-12,7.90705695523163e-11
"COL11A1",401.983190723946,4.92986467425615,0.546965188736779,9.0131232768976,2.00269954657533e-19,2.52409284653535e-17
"SPAG4",308.895345345383,2.98120929393737,0.460438362193836,6.47471961226883,9.49881630095091e-11,2.50402398769525e-09
"CDH3",1613.67235780881,2.5238715599922,0.605378103792152,4.16908299818312,3.05827612904096e-05,0.000206805052576647
"AHRR",4.09479864709753,2.88632598110355,0.907681418205752,3.17988880593045,0.00147331574465723,0.00585555799700206
"DLX3",66.6577509514141,2.40571541325411,0.798012781392591,3.0146326842735,0.0025729064434584,0.0093366525509
"MCM10",339.273342285358,4.40761377135054,0.56985649560961,7.73460301902052,1.03726257415042e-14,5.87596435802628e-13
"COL17A1",321.327417802945,2.82195700010471,0.81780320035573,3.45065536412331,0.00055922718645548,0.0025937824948379
"ASPM",718.515153038095,4.02229757987093,0.497785847272587,8.08037753967786,6.45665664585266e-16,4.50761512440888e-14
"PFKP",4176.89711697382,2.64848376342667,0.376959408401348,7.0259123513024,2.12671939177578e-12,7.63378569101405e-11
"PRR11",694.859321125189,2.75866493827081,0.454987914597775,6.06316090991025,1.33472010292012e-09,2.73767522278197e-08
"PITX1",198.290137565872,4.09020940474191,0.685770592305042,5.96439895591574,2.45536153439444e-09,4.78271744613402e-08
"SDK2",785.326402022447,2.35400088742185,0.773334251409816,3.04396305107451,0.00233483814811197,0.00861934348047349
"GAL",35.4171812338418,3.17527468774264,1.02859766361198,3.08699387532389,0.00202191762594533,0.00763579114684961
"SPTB",788.68329958574,3.64131426420952,0.628764678960634,5.791219491255,6.98771866818944e-09,1.22521220795773e-07
"CNGB1",32.1577170738878,2.09962070800331,0.60961593226167,3.44416967616599,0.000572816101062951,0.00263964852062295
"CHAT",50.4883296257027,7.41698340868727,1.70614678980562,4.34721294381256,1.37878343865046e-05,0.000102029117658556
"EPHA8",2.73745148166466,3.01775877544837,1.17371632938913,2.57111424616457,0.0101371879294193,0.0293682567564357
"TRIP13",681.189780423902,3.17593064946281,0.525159320226324,6.04755647884932,1.47059122215516e-09,2.99985475139325e-08
"MYO3B",59.5646880247481,4.17934104823215,0.757541611604299,5.51697884870149,3.44876923041877e-08,5.12911744372835e-07
"SLC6A15",84.9146492399093,4.71586814170381,1.11838321289717,4.21668359049075,2.47921455830666e-05,0.000171665117232583
"SPP2",3.10811081777099,4.5214720089448,0.966379482335787,4.67877484113816,2.88594140189206e-06,2.63847612155842e-05
"HMMR",508.267604975627,3.74558042009984,0.467870395998802,8.00559396818394,1.18891403937305e-15,8.15066624770194e-14
"MCM2",1147.42790016779,2.96556609692794,0.449487608406414,6.5976592935273,4.17699800212386e-11,1.16005702421515e-09
"PANX2",424.620910056444,2.860134621717,0.59198921724936,4.8313964821968,1.3557870591837e-06,1.36169215900153e-05
"ADAM11",27.1799207585253,2.22028283688581,0.563984591580248,3.9367792489946,8.258250946696e-05,0.000491852141661383
"PPP2R2C",389.582854953977,6.58974694422306,0.923770921978253,7.13352930628206,9.78274683029422e-13,3.75345088048381e-11
"KCNQ2",15.0819131509398,4.47379380159788,1.14539887865132,3.90588281949924,9.38820012740218e-05,0.000550329260939448
"GTSE1",322.341946187617,3.37345482577549,0.490935489744429,6.8714829060976,6.35379064855874e-12,2.06037907266971e-10
"WDR62",556.199842835512,3.36962367269265,0.554570124174234,6.07610025460727,1.23140439353236e-09,2.53487203786748e-08
"SPAG5",839.052955318192,3.5739262916952,0.477858587789867,7.47904585794907,7.48641490383571e-14,3.5605701216597e-12
"UBE2T",640.130467188072,3.87377113739268,0.471381661706088,8.2179080182547,2.07083695402865e-16,1.55510318498421e-14
"RBFOX1",60.9041937898205,6.22849579375993,1.14111308103005,5.45826342481119,4.80813952301992e-08,6.92960966988774e-07
"FGF20",6.68263584133905,2.85434881663525,0.940231356765652,3.03579411183867,0.00239903120191757,0.00881214534329465
"BRINP1",899.602135131007,3.69501146966575,1.28602447452158,2.87320462624971,0.00406330839669605,0.0137726348473022
"DUSP13B",49.067632821799,6.43786659901479,1.13879615230303,5.65322124244559,1.57468402546276e-08,2.54953628491413e-07
"PAFAH1B3",542.82045167206,2.24913697631809,0.296518054084186,7.58516031431774,3.32076214099003e-14,1.69976858557537e-12
"PTPRH",207.586783674467,4.93522772294615,0.690755859454196,7.14467732035707,9.02075419144688e-13,3.49078173404583e-11
"EPHA6",28.1703412339308,2.88335586747995,0.749087503015254,3.8491576162648,0.000118524726478815,0.000674258903759001
"NDC80",517.19548085113,4.04175009207587,0.565352853673897,7.14907524709728,8.73644335305917e-13,3.39768765429281e-11
"CDH7",30.7682635784518,4.01574769962314,0.930643014457566,4.31502481320805,1.59584977171491e-05,0.000116283608166229
"KCNK2",30.4216864115558,3.45404075996777,0.993188704542331,3.47772859696327,0.000505681655779398,0.00237730776766637
"OPRK1",41.5492370738638,3.20935438060993,1.03579429303696,3.0984476378993,0.00194537343839278,0.00740225918382046
"P2RX5",41.5037013603717,2.79112859821734,0.476069032467811,5.86286527344343,4.54947351828099e-09,8.38256101281975e-08
"EPYC",8.96015113851864,3.90899760702922,0.846610325825636,4.61723355809187,3.88889505280961e-06,3.40804549560809e-05
"NKAIN1",14.266229293885,3.92836001287415,0.941182190397534,4.17385714790767,2.99485581042474e-05,0.000202937261193786
"OVGP1",160.654589161799,2.19053805816941,0.508575450240325,4.30720369442582,1.65331347433245e-05,0.000119858664037902
"IGSF9",765.924103738632,4.16921060720449,0.464751328406008,8.97084172196762,2.94257040133421e-19,3.59229624021704e-17
"ORC1",237.494701867706,3.22862737564736,0.498014901985833,6.48299350636541,8.99203697427158e-11,2.38696758239123e-09
"RAD54L",132.584048961858,3.42777560718021,0.498657260354291,6.87401122916533,6.24212912170039e-12,2.03573665313283e-10
"AQP6",8.70266433729963,2.43534997085864,0.721911439371391,3.3734746923795,0.000742258693394895,0.00328391932393644
"FAT2",180.635242728896,3.45186135934753,0.842562880804493,4.096859045169,4.187937264978e-05,0.000272227846874097
"MYBPC2",62.166286923364,2.57765457158035,0.665621718406892,3.87255178173835,0.000107701784286505,0.000620576484976432
"TMPRSS11E",295.320435750387,6.58086632483576,0.965859799411315,6.81347989516361,9.52656777258217e-12,2.98329239616294e-10
"AURKA",602.388718486005,3.01938952575063,0.401662384698596,7.5172324837347,5.59478800635427e-14,2.74674011606584e-12
"DNMT3B",173.982263774622,2.35250561156317,0.425708709315221,5.52609227879628,3.27441952173321e-08,4.90175234502607e-07
"TPX2",2047.59462631858,4.10864398141488,0.572370897643747,7.17828945938506,7.058898834822e-13,2.78320555267964e-11
"FER1L4",355.236351292195,4.34488914370049,0.646756950120097,6.71796281878947,1.84282697215975e-11,5.47072782151299e-10
"SLC15A1",78.6761588740433,4.95471908227104,0.87312154239446,5.67471862930235,1.38916796575539e-08,2.2840466054755e-07
"DOCK3",133.487294994437,2.54243252918137,0.506708908885834,5.01754061275881,5.23371401893118e-07,5.81696481685394e-06
"SLC4A11",345.02423078508,2.62258260744241,0.507249731455445,5.17020009043172,2.3384347908554e-07,2.8562936244215e-06
"BIRC5",1335.73892464574,4.05597332048039,0.608925498585408,6.66086956434375,2.72212153264402e-11,7.8463778369609e-10
"TFAP4",516.871138367483,2.04789214057562,0.265240563734612,7.72088594497426,1.15523892589327e-14,6.51183936770804e-13
